doc_id,title,type,section,source_type,source,url,text_chars,title_in_text,warnings
album_my_beautiful_dark_twisted_fantasy,My Beautiful Dark Twisted Fantasy,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/My_Beautiful_Dark_Twisted_Fantasy,40441,True,
album_2014_forest_hills_drive,2014 Forest Hills Drive,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/2014_Forest_Hills_Drive,15965,True,
album_the_off_season,The Off-Season,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/The_Off-Season,15805,True,
album_long_live_a_ap,Long.Live.A$AP,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Long._Live._ASAP,14044,True,
album_at_long_last_a_ap,At.Long.Last.A$AP,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/At._Long._Last._ASAP,12427,True,
album_igor,Igor,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Igor_(album),10529,True,
album_take_care,Take Care,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Take_Care,24445,True,
album_astroworld,Astroworld,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Astroworld_(album),15662,True,
album_the_eminem_show,The Eminem Show,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/The_Eminem_Show,20217,True,
album_blonde,Blonde,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Blonde_(Frank_Ocean_album),16132,True,
album_ctrl,Ctrl,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Ctrl_(SZA_album),19412,True,
album_anti,Anti,album,albums,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Anti_(album),38302,True,
genre_alternative_rock,Alternative rock,genre,genres,external,britannica.com,https://www.britannica.com/topic/the-Velvet-Underground,5205,True,
genre_indie_rock,Indie rock,genre,genres,external,theguardian.com,https://www.theguardian.com/music/musicblog/2010/jan/04/clearing-up-indie-landfill,9324,True,
genre_grunge,Grunge,genre,genres,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Grunge,88883,True,
genre_psychedelic_rock,Psychedelic rock,genre,genres,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Psychedelic_rock,39652,True,
genre_post_punk,Post-punk,genre,genres,external,nme.com,https://www.nme.com/list/50-of-the-greatest-producers-ever/262849/page/2,22853,True,
genre_nu_metal,Nu metal,genre,genres,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Nu_metal,45183,True,
genre_hip_hop,Hip hop,genre,genres,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Hip-hop,48642,True,
genre_trap,Trap,genre,genres,external,pitchfork.com,https://pitchfork.com/reviews/tracks/childish-gambino-this-is-america/,3070,True,
genre_cloud_rap,Cloud rap,genre,genres,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Cloud_rap,6734,True,
genre_contemporary_randb,Contemporary R&B,genre,genres,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Contemporary_R%26B,11481,True,
genre_neo_soul,Neo soul,genre,genres,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Neo_soul,16506,True,
genre_soul,Soul,genre,genres,external,britannica.com,https://www.britannica.com/art/soul-music,4469,True,
genre_pop,Pop,genre,genres,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Pop_music,17418,True,
genre_dance_pop,Dance-pop,genre,genres,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Dance-pop,11815,True,
genre_trip_hop,Trip hop,genre,genres,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Trip_hop,17035,True,
award_grammy_awards,Grammy Awards,award,events,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Grammy_Awards,43801,True,
award_mtv_video_music_awards,MTV Video Music Awards,award,events,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/MTV_Video_Music_Awards,57923,True,
award_rock_and_roll_hall_of_fame,Rock and Roll Hall of Fame,award,events,external,library.rockhall.com,http://library.rockhall.com/exhibition_history,28953,True,
festival_coachella,Coachella,festival,events,external,rollingstone.com,https://www.rollingstone.com/music/news/coachella-provided-an-antidote-to-woodstock-99s-hangover-19991011,4647,True,
festival_glastonbury_festival,Glastonbury Festival,festival,events,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Glastonbury_Festival,47551,True,
festival_lollapalooza,Lollapalooza,festival,events,external,rollingstone.com,https://www.rollingstone.com/music/news/attorney-general-investigates-lollapalooza-20100625,3440,True,
festival_primavera_sound,Primavera Sound,festival,events,external,billboard.com,https://www.billboard.com/articles/news/festivals/8514004/miley-cyrus-primavera-sound-festival-barcelona-she-is-coming,2724,True,
festival_rolling_loud,Rolling Loud,festival,events,external,billboard.com,https://www.billboard.com/music/rb-hip-hop/rolling-loud-new-york-asap-rocky-dababy-recap-day-two-8532902/,7845,True,
event_eurovision_song_contest,Eurovision Song Contest,event,events,external,theguardian.com,https://www.theguardian.com/tv-and-radio/2020/may/17/eurovision-still-shines-despite-cancelled-final,4006,True,
movement_hip_hop_culture,Hip hop culture,movement,events,wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Hip-hop_culture,90297,True,
